Orthogroup	Liostenogaster_flavolineata	Drosophila_melanogaster
OG0006984	Lflavo2a010185P1	NP_569873.1
OG0006985	Lflavo2a012501P1	NP_573245.1
OG0006986	Lflavo2a005222P1	NP_001285282.1, NP_573053.2
OG0006987	Lflavo2a013287P1	NP_001286043.1, NP_609883.1
OG0006988	Lflavo2a013331P1	NP_610241.1, NP_724506.1
OG0006989	Lflavo2a011242P1	NP_652607.1
OG0006990	Lflavo2a004407P1	NP_001188707.1, NP_609102.1
OG0006992	Lflavo2a000560P1, Lflavo2a000560P2	NP_647879.1
OG0006994	Lflavo2a008074P1	NP_651990.1
OG0006995	Lflavo2a008226P1	NP_608464.1
OG0007000	Lflavo2a010878P1	NP_611139.1
OG0007001	Lflavo2a005111P1	NP_523502.1
OG0007003	Lflavo2a008114P1	NP_001034065.1
OG0007004	Lflavo2a013661P1, Lflavo2a013661P2	NP_728830.1, NP_728831.1
OG0007005	Lflavo2a014315P1	NP_477135.2
OG0007006	Lflavo2a009046P1, Lflavo2a009046P2	NP_524017.1
OG0007008	Lflavo2a012510P1	NP_001260021.1, NP_608823.2
OG0007010	Lflavo2a007095P1	NP_650751.3
OG0007011	Lflavo2a010150P1	NP_725497.1
OG0007012	Lflavo2a005383P1	NP_611973.2
OG0007013	Lflavo2a008600P1	NP_651667.1
OG0007015	Lflavo2a003605P1, Lflavo2a003587P1	NP_724812.2
OG0007016	Lflavo2a010643P1	NP_608999.2
OG0007017	Lflavo2a003866P1	NP_648230.1
OG0007019	Lflavo2a010297P1	NP_001027403.2, NP_001163114.1
OG0007020	Lflavo2a014347P1	NP_573055.1
OG0007023	Lflavo2a010286P1	NP_650521.1
OG0007024	Lflavo2a005445P1	NP_727668.2
OG0007027	Lflavo2a005564P1	NP_612032.1
OG0007028	Lflavo2a005956P1	NP_610854.1
OG0007029	Lflavo2a012956P1	NP_573331.1
OG0007030	Lflavo2a008109P1	NP_573169.2
OG0007033	Lflavo2a000882P1	NP_001245504.1, NP_525054.2
OG0007036	Lflavo2a002000P1	NP_001246362.1, NP_611094.1
OG0007037	Lflavo2a011996P1	NP_650693.1
OG0007038	Lflavo2a005728P1	NP_001262556.1, NP_650329.1
OG0007039	Lflavo2a003747P1	NP_524471.2
OG0007040	Lflavo2a006412P1	NP_524048.2, NP_788502.1
OG0007041	Lflavo2a003333P3	NP_651182.2, NP_732903.2
OG0007042	Lflavo2a008764P1	NP_727328.1
OG0007043	Lflavo2a004815P1	NP_001286320.1, NP_610703.3
OG0007044	Lflavo2a011226P1	NP_001097795.1, NP_001287330.1
OG0007048	Lflavo2a004885P1	NP_647679.1
OG0007049	Lflavo2a004609P1	NP_001259511.1, NP_001285197.1, NP_572869.1
OG0007050	Lflavo2a013324P1	NP_648518.1
OG0007051	Lflavo2a008417P1	NP_001286319.1, NP_610696.1
OG0007054	Lflavo2a002454P1	NP_477023.1
OG0007055	Lflavo2a007516P1	NP_788342.1
OG0007057	Lflavo2a011468P1	NP_001262351.1, NP_649745.3
OG0007058	Lflavo2a013489P1, Lflavo2a013489P2	NP_611091.2
OG0007059	Lflavo2a001310P1	NP_001285932.1, NP_476917.1
OG0007060	Lflavo2a003528P1	NP_001246805.1, NP_648923.1
OG0007061	Lflavo2a013654P1	NP_001285363.1, NP_573196.1
OG0007062	Lflavo2a011472P1	NP_001163144.1, NP_524752.1
OG0007063	Lflavo2a000571P1, Lflavo2a000571P2	NP_524076.2
OG0007064	Lflavo2a011534P1, Lflavo2a011534P2	NP_001285657.1, NP_608987.1
OG0007065	Lflavo2a000766P1	NP_001285268.1, NP_511164.2
OG0007066	Lflavo2a014310P1	NP_001285517.1, NP_523434.2
OG0007067	Lflavo2a009805P3	NP_001261867.1, NP_730022.1, NP_648746.1
OG0007068	Lflavo2a013154P1	NP_725401.2
OG0007069	Lflavo2a005356P1	NP_476656.1
OG0007070	Lflavo2a010504P1	NP_523389.3
OG0007071	Lflavo2a009486P1	NP_524379.2
OG0007072	Lflavo2a003590P1	NP_001259537.2, NP_572928.1
OG0007073	Lflavo2a007687P1	NP_650995.1
OG0007075	Lflavo2a001076P1	NP_723044.1, NP_723045.1, NP_723046.1
OG0007076	Lflavo2a000238P1	NP_648149.1
OG0007077	Lflavo2a010495P1	NP_001303557.1, NP_570027.1
OG0007078	Lflavo2a009386P1	NP_001261398.1, NP_647860.1
OG0007079	Lflavo2a002274P1	NP_611503.1
OG0007080	Lflavo2a007902P1	NP_611306.1
OG0007081	Lflavo2a013984P1	NP_649552.1
OG0007082	Lflavo2a004877P1, Lflavo2a004877P2	NP_523476.1
OG0007083	Lflavo2a005994P1	NP_650590.1
OG0007084	Lflavo2a012815P1	NP_788543.1
OG0007085	Lflavo2a012863P1	NP_573324.1, NP_573325.1
OG0007086	Lflavo2a003163P1, Lflavo2a003163P2	NP_523783.1
OG0007087	Lflavo2a010579P1	NP_610732.1
OG0007088	Lflavo2a007624P1	NP_611693.1
OG0007089	Lflavo2a011656P1, Lflavo2a011656P2	NP_648755.1
OG0007090	Lflavo2a007978P1	NP_001303547.1, NP_733202.2
OG0007091	Lflavo2a004547P1	NP_001260166.1, NP_609082.1
OG0007093	Lflavo2a014170P1	NP_649197.1, NP_730502.1
OG0007094	Lflavo2a004790P1	NP_476596.1, NP_723845.1
OG0007095	Lflavo2a012144P1	NP_650004.1
OG0007096	Lflavo2a003434P1	NP_729454.1
OG0007097	Lflavo2a010361P1	NP_001188706.1, NP_609033.1
OG0007098	Lflavo2a002271P1	NP_651349.1
OG0007099	Lflavo2a002369P1	NP_001036635.1
OG0007100	Lflavo2a001237P1	NP_001287107.1, NP_652671.1
OG0007101	Lflavo2a000641P1	NP_610604.3, NP_724965.2, NP_995809.1
OG0007102	Lflavo2a009811P1	NP_001260732.1, NP_477090.1
OG0007103	Lflavo2a011071P1	NP_524355.2, NP_731985.2
OG0007104	Lflavo2a007408P1	NP_650214.1, NP_731727.2
OG0007105	Lflavo2a011672P1	NP_524450.2, NP_732748.1
OG0007106	Lflavo2a014176P1	NP_648768.1
OG0007108	Lflavo2a002244P1	NP_609736.1
OG0007109	Lflavo2a008696P1	NP_477404.1
OG0007110	Lflavo2a000447P1	NP_001303365.1, NP_647847.1
OG0007111	Lflavo2a006918P1	NP_650918.1
OG0007112	Lflavo2a009400P1	NP_649676.1
OG0007113	Lflavo2a006574P1	NP_650608.1
OG0007114	Lflavo2a009202P1	NP_647623.1, NP_728629.1
OG0007115	Lflavo2a003826P1	NP_523910.1, NP_728910.1
OG0007116	Lflavo2a012988P1	NP_001247358.1, NP_651710.1
OG0007117	Lflavo2a006321P1, Lflavo2a006321P2	NP_648657.1
OG0007118	Lflavo2a004104P1	NP_649160.1
OG0007119	Lflavo2a005217P1	NP_001261876.1, NP_648770.1
OG0007120	Lflavo2a004348P1	NP_649294.1, NP_730610.3
OG0007121	Lflavo2a010775P1	NP_609026.1
OG0007122	Lflavo2a002441P1	NP_001285378.1, NP_573228.1
OG0007123	Lflavo2a009525P3	NP_523707.1, NP_725107.1
OG0007124	Lflavo2a006793P1	NP_649588.1
OG0007125	Lflavo2a014295P1	NP_001262473.1, NP_650052.1
OG0007126	Lflavo2a005439P1	NP_001260511.1, NP_609804.1
OG0007127	Lflavo2a007245P1, Lflavo2a007245P2	NP_523984.1
OG0007128	Lflavo2a008866P1	NP_650401.1, NP_731954.1
OG0007129	Lflavo2a006144P1	NP_001188779.1, NP_609400.1
OG0007130	Lflavo2a001408P1	NP_648202.1
OG0007132	Lflavo2a001009P1	NP_477329.1
OG0007133	Lflavo2a000280P1	NP_001260567.1, NP_477341.2
OG0007134	Lflavo2a001615P1, Lflavo2a001615P2	NP_001303424.1, NP_649531.1
OG0007135	Lflavo2a012218P1	NP_610554.1
OG0007136	Lflavo2a008077P1	NP_649996.1
OG0007137	Lflavo2a012608P1	NP_569874.1
OG0007138	Lflavo2a005398P1	NP_650787.1
OG0007139	Lflavo2a000462P1, Lflavo2a000462P2	NP_001097740.1
OG0007140	Lflavo2a004598P1	NP_651727.1, NP_733307.1
OG0007141	Lflavo2a012533P1	NP_524999.2
OG0007142	Lflavo2a000752P1	NP_001261271.1, NP_477065.3
OG0007143	Lflavo2a013311P1	NP_001260353.1, NP_609416.1
OG0007144	Lflavo2a009033P1	NP_523403.2, NP_728191.1
OG0007145	Lflavo2a012061P1	NP_001285587.1, NP_608782.1
OG0007146	Lflavo2a005400P1, Lflavo2a005400P3	NP_609441.1
OG0007147	Lflavo2a005446P1	NP_001286416.1, NP_610948.2
OG0007148	Lflavo2a007868P2, Lflavo2a007868P3	NP_523602.2
OG0007149	Lflavo2a007669P1	NP_650996.1
OG0007150	Lflavo2a009625P1	NP_572391.1
OG0007153	Lflavo2a008049P1	NP_608682.3
OG0007154	Lflavo2a011888P1	NP_001286247.1, NP_610484.1
OG0007155	Lflavo2a014037P1, Lflavo2a014037P2	NP_570012.1
OG0007156	Lflavo2a000743P1, Lflavo2a000743P2	NP_001259790.1, NP_608490.1
OG0007157	Lflavo2a010088P1	NP_611686.2, NP_726213.1
OG0007158	Lflavo2a008021P1	NP_001188790.1, NP_609442.2
OG0007159	Lflavo2a005016P1	NP_573334.1
OG0007160	Lflavo2a011605P1	NP_650656.1
OG0007161	Lflavo2a006467P1	NP_609889.1
OG0007162	Lflavo2a006519P1	NP_611687.1
OG0007163	Lflavo2a005157P1	NP_610325.1
OG0007164	Lflavo2a009203P1	NP_649099.1
OG0007165	Lflavo2a012306P1	NP_573096.1, NP_609864.1
OG0007166	Lflavo2a014112P1	NP_001285439.1, NP_573384.1
OG0007167	Lflavo2a004090P1, Lflavo2a004090P2	NP_612080.1
OG0007168	Lflavo2a006964P1	NP_649757.1
OG0007169	Lflavo2a009627P1	NP_652014.1, NP_724974.1
OG0007170	Lflavo2a012255P1	NP_612081.1, NP_728575.2
OG0007171	Lflavo2a003785P1, Lflavo2a003785P2	NP_001286617.1, NP_611429.1
OG0007172	Lflavo2a005901P1	NP_001246283.1, NP_610810.2
OG0007173	Lflavo2a004490P1, Lflavo2a005793P1	NP_649212.2
OG0007174	Lflavo2a011560P1	NP_647918.2
OG0007175	Lflavo2a005857P1	NP_649529.1, NP_730922.1
OG0007176	Lflavo2a003329P1	NP_001284709.1, NP_726539.1
OG0007177	Lflavo2a007224P1	NP_477121.1
OG0007178	Lflavo2a009358P1	NP_648880.1
OG0007179	Lflavo2a011839P1	NP_733044.1
OG0007180	Lflavo2a004110P1	NP_477502.1
OG0007181	Lflavo2a005709P1	NP_649973.1
OG0007182	Lflavo2a002084P1	NP_001303431.1, NP_650048.1
OG0007183	Lflavo2a002884P1	NP_523463.2
OG0007184	Lflavo2a006561P1	NP_476979.1
OG0007185	Lflavo2a013952P1	NP_733074.1
OG0007186	Lflavo2a009132P1	NP_610315.1
OG0007187	Lflavo2a010647P2, Lflavo2a010647P3	NP_648660.1
OG0007188	Lflavo2a011671P1	NP_608781.2
OG0007189	Lflavo2a008899P1	NP_651537.3, NP_733196.1
OG0007190	Lflavo2a011423P1	NP_001261161.1, NP_611853.2
OG0007191	Lflavo2a003357P1	NP_608931.1
OG0007192	Lflavo2a011424P1	NP_001303388.1, NP_649424.1
OG0007193	Lflavo2a009035P1	NP_001163564.1, NP_649863.1
OG0007194	Lflavo2a011445P1	NP_611639.1
OG0007195	Lflavo2a006140P1	NP_001247153.1, NP_524389.1
OG0007196	Lflavo2a004800P1	NP_651655.1
OG0007197	Lflavo2a013842P1	NP_609548.1
OG0007198	Lflavo2a012011P1	NP_651976.1
OG0007199	Lflavo2a000223P1	NP_001285979.1, NP_609792.1
OG0007200	Lflavo2a010393P1	NP_649905.1
OG0007201	Lflavo2a006097P1	NP_649255.1
OG0007202	Lflavo2a009934P1	NP_651669.1
OG0007203	Lflavo2a008974P1	NP_572502.1
OG0007204	Lflavo2a001550P1, Lflavo2a001550P2	NP_726036.2
OG0007205	Lflavo2a001494P1	NP_476899.1, NP_726224.3
OG0007206	Lflavo2a007066P1, Lflavo2a006868P1	NP_610995.1
OG0007207	Lflavo2a013756P1	NP_001262394.1, NP_649853.1
OG0007208	Lflavo2a010387P1	NP_001259982.1, NP_608743.2
OG0007209	Lflavo2a013352P1	NP_001097436.1, NP_611804.1
OG0007210	Lflavo2a000387P1	NP_647765.1
OG0007211	Lflavo2a009452P1	NP_001260878.1, NP_610630.1
OG0007212	Lflavo2a000058P1	NP_649489.1
OG0007213	Lflavo2a008752P1	NP_731500.1
OG0007214	Lflavo2a003201P2, Lflavo2a003201P3	NP_649347.1
OG0007215	Lflavo2a001680P1	NP_001261482.1, NP_648057.2
OG0007216	Lflavo2a013411P1	NP_611070.1
OG0007217	Lflavo2a002098P1	NP_001247191.1, NP_524401.2
OG0007218	Lflavo2a014128P1	NP_001259103.1, NP_569863.1
OG0007219	Lflavo2a004796P2, Lflavo2a004796P1, Lflavo2a004796P3	NP_611051.2
OG0007220	Lflavo2a010532P1	NP_001096867.3, NP_525047.1
OG0007221	Lflavo2a005198P1	NP_610048.2, NP_724278.1
OG0007222	Lflavo2a001702P1, Lflavo2a001702P2	NP_651005.1
OG0007223	Lflavo2a010118P1	NP_001262699.1, NP_650689.1
OG0007224	Lflavo2a010749P1	NP_477043.1
OG0007225	Lflavo2a003408P1	NP_001163486.2, NP_524192.2
OG0007226	Lflavo2a009731P2	NP_001262884.1, NP_524465.1
OG0007227	Lflavo2a004624P1	NP_788610.1
OG0007228	Lflavo2a010966P1	NP_001261632.1, NP_524003.1
OG0007229	Lflavo2a001899P1	NP_524396.1
OG0007231	Lflavo2a010176P1	NP_001262910.1, NP_651246.2
OG0007232	Lflavo2a010453P1	NP_647661.1
OG0007234	Lflavo2a004834P1	NP_523938.2
OG0007235	Lflavo2a009671P1	NP_001246480.1, NP_726309.3
OG0007236	Lflavo2a004180P1	NP_650840.1
OG0007237	Lflavo2a007068P1, Lflavo2a007068P2	NP_523976.1
OG0007238	Lflavo2a007263P1	NP_610417.1
OG0007239	Lflavo2a014306P1	NP_001262161.1, NP_649318.1
OG0007240	Lflavo2a004792P1	NP_608825.2
OG0007241	Lflavo2a007793P1, Lflavo2a007793P2	NP_610928.1
OG0007242	Lflavo2a009106P1	NP_611113.1
OG0007243	Lflavo2a008674P1	NP_001162763.1, NP_573083.2, NP_996453.1
OG0007244	Lflavo2a004227P2	NP_001260726.1, NP_477439.2
OG0007245	Lflavo2a004584P1	NP_001262000.1, NP_649017.1
OG0007246	Lflavo2a010530P1, Lflavo2a010530P2	NP_572390.1
OG0007247	Lflavo2a008312P2	NP_001286296.1, NP_610618.1
OG0007248	Lflavo2a009873P1	NP_001260279.1, NP_609277.1
OG0007249	Lflavo2a013245P1	NP_001188762.1, NP_609314.1
OG0007250	Lflavo2a004846P1	NP_611074.1
OG0007251	Lflavo2a009787P1, Lflavo2a009787P2	NP_525119.1
OG0007252	Lflavo2a014252P1	NP_001259370.1, NP_511093.2
OG0007254	Lflavo2a000513P1	NP_524784.1
OG0007255	Lflavo2a011194P1	NP_652413.1
OG0007256	Lflavo2a006146P1	NP_731252.1
OG0007257	Lflavo2a010692P1	NP_524305.2
OG0007258	Lflavo2a000065P1	NP_001303371.1, NP_649073.1
OG0007259	Lflavo2a011116P1	NP_649499.1
OG0007260	Lflavo2a004963P1	NP_524191.1
OG0007261	Lflavo2a011401P1	NP_611642.2
OG0007262	Lflavo2a000843P1	NP_001262697.1, NP_650684.1
OG0007263	Lflavo2a005236P1	NP_001285757.1, NP_609236.2
OG0007264	Lflavo2a007212P1	NP_733334.1
OG0007265	Lflavo2a002198P1	NP_611136.1, NP_725591.1
OG0007266	Lflavo2a001375P1	NP_001286566.1, NP_788401.2
OG0007267	Lflavo2a009011P1	NP_001163644.1, NP_650680.1
OG0007268	Lflavo2a000286P1	NP_001260729.1, NP_525106.2
OG0007269	Lflavo2a013456P1	NP_001137931.1, NP_524020.2
OG0007270	Lflavo2a009024P1	NP_001262034.1, NP_649092.1
OG0007271	Lflavo2a002803P1	NP_649535.2, NP_730931.1
OG0007272	Lflavo2a004964P1	NP_001286102.1, NP_610033.1
OG0007274	Lflavo2a002883P1	NP_001263148.1, NP_651877.1
OG0007275	Lflavo2a010105P1	NP_001261410.1, NP_647881.1
OG0007276	Lflavo2a004151P1	NP_572712.1
OG0007277	Lflavo2a002982P1, Lflavo2a002982P2	NP_524240.1
OG0007278	Lflavo2a013007P1, Lflavo2a013007P2	NP_610589.2
OG0007279	Lflavo2a012896P1	NP_001287407.1, NP_477437.1
OG0007280	Lflavo2a011647P1	NP_001259493.1, NP_572826.1
OG0007281	Lflavo2a005433P1	NP_477392.1, NP_477393.1
OG0007282	Lflavo2a006970P1	NP_647772.1
OG0007283	Lflavo2a013461P1	NP_001286348.1, NP_610781.1
OG0007284	Lflavo2a012406P1	NP_001285833.1, NP_609494.1
OG0007285	Lflavo2a001600P1, Lflavo2a001600P2	NP_523817.1
OG0007286	Lflavo2a012479P1	NP_647924.2, NP_651703.1
OG0007287	Lflavo2a014121P1	NP_001285788.1, NP_609331.1
OG0007288	Lflavo2a013742P1, Lflavo2a013742P2	NP_648553.1
OG0007289	Lflavo2a001641P1, Lflavo2a001675P1	NP_610802.1
OG0007291	Lflavo2a010164P1	NP_001189075.1, NP_523993.1
OG0007292	Lflavo2a003520P1	NP_523582.4, NP_599132.2
OG0007293	Lflavo2a002255P1	NP_524476.1
OG0007294	Lflavo2a002702P1	NP_001260046.1, NP_608858.3
OG0007295	Lflavo2a002551P1	NP_730248.2, NP_730250.1
OG0007297	Lflavo2a007026P1	NP_648425.1, NP_729651.1, NP_729652.1
OG0007298	Lflavo2a012316P1	NP_001261575.1, NP_523970.1
OG0007299	Lflavo2a007525P1	NP_001286315.1, NP_610679.1
OG0007300	Lflavo2a002023P1	NP_477222.1
OG0007301	Lflavo2a001322P1	NP_001286410.1, NP_610939.2
OG0007302	Lflavo2a003601P1	NP_648205.1, NP_729358.1
OG0007303	Lflavo2a005812P1	NP_001303317.1, NP_609321.1
OG0007304	Lflavo2a007403P1	NP_649059.1
OG0007305	Lflavo2a010352P1	NP_001261411.1, NP_647884.1
OG0007306	Lflavo2a001498P1	NP_001246231.1, NP_610536.1
OG0007307	Lflavo2a011554P1	NP_001162642.1, NP_652012.1
OG0007308	Lflavo2a011009P1, Lflavo2a011009P2	NP_608902.1
OG0007309	Lflavo2a006844P1	NP_001097499.1, NP_001097500.1
OG0007310	Lflavo2a002283P1	NP_609365.3
OG0007311	Lflavo2a013714P1	NP_651972.1, NP_722908.1
OG0007312	Lflavo2a001155P1	NP_001189131.1, NP_524163.1
OG0007313	Lflavo2a000191P1	NP_524583.1, NP_733342.1
OG0007314	Lflavo2a009233P1	NP_001163156.1, NP_611015.1
OG0007315	Lflavo2a008268P1	NP_001097911.1
OG0007316	Lflavo2a010234P1	NP_001033891.1, NP_001260312.1, NP_523530.1
OG0007317	Lflavo2a009325P1	NP_001027236.1, NP_001188778.1
OG0007318	Lflavo2a012554P1	NP_573000.1
OG0007319	Lflavo2a011845P1	NP_650287.3
OG0007320	Lflavo2a003708P1	NP_001285678.1, NP_609046.1
OG0007321	Lflavo2a004075P1	NP_001259579.1, NP_573062.1
OG0007322	Lflavo2a004260P1	NP_647835.1
OG0007324	Lflavo2a003740P1	NP_001262612.1, NP_650491.1
OG0007325	Lflavo2a004965P1	NP_001284884.1, NP_511048.2
OG0007326	Lflavo2a008884P1	NP_001286506.1, NP_524808.3
OG0007327	Lflavo2a001096P1	NP_001261955.1, NP_648905.1
OG0007328	Lflavo2a000329P1	NP_612075.1, NP_728564.1
OG0007329	Lflavo2a008286P1	NP_609451.1
OG0007330	Lflavo2a000378P1	NP_001260421.1, NP_609586.1
OG0007331	Lflavo2a003752P1	NP_001285505.1, NP_608420.1
OG0007332	Lflavo2a012204P1	NP_001285907.1, NP_609669.1
OG0007334	Lflavo2a007990P1	NP_649587.1, NP_731006.1
OG0007335	Lflavo2a007173P1	NP_648273.1
OG0007336	Lflavo2a012057P1	NP_001285334.1, NP_524684.2
OG0007337	Lflavo2a004876P1	NP_001261849.1, NP_651965.1
OG0007338	Lflavo2a012638P1	NP_648416.1
OG0007339	Lflavo2a002616P1	NP_001033848.1, NP_608634.1
OG0007340	Lflavo2a004472P1	NP_001138209.1, NP_573139.1
OG0007341	Lflavo2a005493P1, Lflavo2a005493P2	NP_649202.1
OG0007342	Lflavo2a011691P1	NP_650223.1
OG0007343	Lflavo2a010382P1, Lflavo2a010382P2	NP_650056.1
OG0007344	Lflavo2a011782P1	NP_001246931.1, NP_001262280.1, NP_649534.1
OG0007345	Lflavo2a004297P1	NP_610611.1
OG0007351	Lflavo2a009746P1	NP_001036316.1, NP_001036317.1, NP_001285537.1, NP_001285538.1
OG0007352	Lflavo2a012033P2, Lflavo2a012033P1, Lflavo2a012033P3	NP_001036351.2
OG0007359	Lflavo2a009120P1	NP_001097977.1, NP_651769.1
OG0007364	Lflavo2a008396P1	NP_001259449.1, NP_001162720.1, NP_727518.1, NP_996402.1, NP_996403.1
OG0007365	Lflavo2a010250P1	NP_001162915.1, NP_001285767.1, NP_523515.1
OG0007367	Lflavo2a003683P1	NP_001188676.1, NP_001188677.2, NP_608372.1
OG0007371	Lflavo2a001006P1	NP_001245914.1, NP_609075.1
OG0007372	Lflavo2a002797P1	NP_726113.1, NP_001246608.1, NP_647846.2
OG0007374	Lflavo2a001115P1, Lflavo2a001164P1	NP_650429.1, NP_572449.1, NP_001259324.1, NP_572451.1
OG0007380	Lflavo2a008556P1	NP_001262848.1, NP_732797.1, NP_001262849.1, NP_651095.1
OG0007382	Lflavo2a000971P1	NP_001286342.1, NP_610759.2, NP_001350856.1
OG0007383	Lflavo2a007951P1	NP_001286445.1, NP_652376.2
OG0007384	Lflavo2a001716P1, Lflavo2a001716P2	NP_524488.3
OG0007385	Lflavo2a003043P1	NP_573024.1
OG0007387	Lflavo2a010214P1	NP_611370.2
OG0007389	Lflavo2a013754P1	NP_650252.1
OG0007390	Lflavo2a004721P1, Lflavo2a012418P1, Lflavo2a003863P1, Lflavo2a009667P1	NP_650698.1
OG0007422	Lflavo2a011343P1	NP_610817.1
OG0007423	Lflavo2a004058P1	NP_477088.2
OG0007426	Lflavo2a003004P1	NP_523797.1
OG0007428	Lflavo2a002547P1	NP_609712.1
OG0007430	Lflavo2a010682P1	NP_476792.1
OG0007433	Lflavo2a002263P1	NP_523876.2
OG0007434	Lflavo2a011522P1	NP_001286220.1, NP_610433.1
OG0007435	Lflavo2a003815P1	NP_608516.1
OG0007436	Lflavo2a006179P1	NP_651829.1
OG0007439	Lflavo2a008951P1	NP_609918.1
OG0007440	Lflavo2a008975P1	NP_001261289.1, NP_001261290.1, NP_477403.1
OG0007442	Lflavo2a011580P1	NP_648776.1
OG0007444	Lflavo2a009409P1	NP_001097853.1, NP_650949.1
OG0007445	Lflavo2a013474P1	NP_572673.1
OG0007447	Lflavo2a013075P1	NP_651530.1
OG0007449	Lflavo2a000613P1	NP_648126.1
OG0007451	Lflavo2a000460P1	NP_652335.1
OG0007453	Lflavo2a004938P1	NP_610264.1
OG0007454	Lflavo2a003880P1	NP_652037.1
OG0007455	Lflavo2a003046P1	NP_649293.1
OG0007456	Lflavo2a001896P1	NP_649850.1
OG0007457	Lflavo2a001976P1	NP_732199.2
OG0007458	Lflavo2a010562P1	NP_525073.1
OG0007459	Lflavo2a002429P1	NP_001189216.1, NP_001189217.1, NP_650285.1
OG0007461	Lflavo2a005425P1	NP_649130.2
OG0007462	Lflavo2a013602P1	NP_477201.1
OG0007463	Lflavo2a009236P1	NP_610220.1
OG0007464	Lflavo2a004530P1	NP_650331.1, NP_731880.1
OG0007465	Lflavo2a001518P1	NP_611072.2
OG0007468	Lflavo2a010601P1	NP_727306.1
OG0007469	Lflavo2a013431P1	NP_648570.1
OG0007471	Lflavo2a013095P1	NP_788549.1
OG0007472	Lflavo2a006482P1	NP_647836.2
OG0007473	Lflavo2a010792P1	NP_524795.2
OG0007474	Lflavo2a012103P1	NP_647981.1
OG0007478	Lflavo2a006691P1	NP_573355.1
OG0007479	Lflavo2a006861P1	NP_573257.1
OG0007480	Lflavo2a001175P1	NP_648163.1
OG0007481	Lflavo2a000444P1	NP_723505.2
OG0007483	Lflavo2a005187P1	NP_647939.1
OG0007484	Lflavo2a011189P1	NP_001097058.1
OG0007485	Lflavo2a000052P1	NP_611422.2
OG0007486	Lflavo2a009190P1	NP_001286464.1, NP_611050.1
OG0007488	Lflavo2a009121P1	NP_788716.1
OG0007489	Lflavo2a013242P1	NP_651126.3
OG0007491	Lflavo2a010059P1	NP_476923.1
OG0007492	Lflavo2a013357P1	NP_610180.1, NP_724424.1
OG0007494	Lflavo2a006518P1	NP_611871.2
OG0007495	Lflavo2a002741P1	NP_651243.1
OG0007496	Lflavo2a010955P1	NP_609238.1
OG0007497	Lflavo2a007740P1	NP_001097595.1, NP_001137940.1
OG0007498	Lflavo2a001729P1	NP_611466.2
OG0007499	Lflavo2a003303P1	NP_524939.1
OG0007500	Lflavo2a004668P1	NP_608734.2
OG0007501	Lflavo2a002541P1	NP_001287206.1, NP_649711.1
OG0007503	Lflavo2a001061P1	NP_649068.1
OG0007504	Lflavo2a009881P1	NP_001286383.1, NP_610852.1
OG0007505	Lflavo2a000595P1	NP_523737.1
OG0007506	Lflavo2a006207P1	NP_524596.1
OG0007507	Lflavo2a004672P1	NP_724049.1
OG0007508	Lflavo2a007205P1	NP_730536.1
OG0007511	Lflavo2a002381P1	NP_001262647.1, NP_650570.1
OG0007512	Lflavo2a010039P1	NP_524199.1
OG0007514	Lflavo2a002533P1	NP_477146.1
OG0007516	Lflavo2a012184P1	NP_651276.2, NP_996288.1
OG0007518	Lflavo2a007943P1	NP_651001.2
OG0007519	Lflavo2a002079P1	NP_611857.3
OG0007520	Lflavo2a003233P1	NP_569872.1
OG0007521	Lflavo2a008584P1	NP_722835.1
OG0007523	Lflavo2a004888P1	NP_651118.1
OG0007525	Lflavo2a000367P1	NP_649628.2
OG0007526	Lflavo2a003851P1	NP_001260812.1, NP_610413.1
OG0007527	Lflavo2a011389P1	NP_650450.1
OG0007528	Lflavo2a001542P1	NP_611528.1
OG0007529	Lflavo2a007695P1	NP_524783.1
OG0007530	Lflavo2a014223P1	NP_524905.1
OG0007532	Lflavo2a010277P1	NP_610731.2
OG0007534	Lflavo2a000848P1	NP_649636.1
OG0007537	Lflavo2a000895P1	NP_649639.1
OG0007539	Lflavo2a000940P1	NP_001163529.1, NP_649640.1
OG0007540	Lflavo2a000885P1	NP_649641.1
OG0007541	Lflavo2a001964P1	NP_651673.1
OG0007542	Lflavo2a012582P1	NP_608996.1
OG0007543	Lflavo2a010590P1	NP_001286151.1, NP_724519.1
OG0007544	Lflavo2a011874P1	NP_524626.1
OG0007545	Lflavo2a008012P1	NP_651194.1
OG0007546	Lflavo2a005134P1	NP_648204.1
OG0007549	Lflavo2a009541P1	NP_610434.1
OG0007550	Lflavo2a007974P1	NP_611541.1
OG0007553	Lflavo2a009005P1	NP_001262333.1, NP_649696.1
OG0007554	Lflavo2a002983P1	NP_651397.1
OG0007557	Lflavo2a004417P1	NP_611234.1
OG0007558	Lflavo2a012921P1	NP_001262380.1, NP_649811.1
OG0007559	Lflavo2a001130P1	NP_788084.1
OG0007563	Lflavo2a014153P1	NP_001247279.1, NP_651234.1
OG0007564	Lflavo2a005615P1	NP_001097546.2
OG0007565	Lflavo2a001805P1	NP_572401.2
OG0007568	Lflavo2a000423P1	NP_572604.2
OG0007569	Lflavo2a006579P1	NP_001262999.1, NP_524522.2
OG0007570	Lflavo2a007531P1	NP_570063.1
OG0007572	Lflavo2a003030P1	NP_573385.1
OG0007575	Lflavo2a008699P1	NP_650073.1
OG0007577	Lflavo2a012189P1	NP_573143.1
